Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
10 apr. 2022,1.561,2.203,668,1.440,3.206,Smartmeter
9 apr. 2022,1.556,2.203,659,1.440,3.200,Smartmeter
8 apr. 2022,1.555,2.199,659,1.430,3.192,Smartmeter
7 apr. 2022,1.554,2.194,659,1.424,3.187,Smartmeter
6 apr. 2022,1.553,2.190,659,1.420,3.183,Smartmeter
5 apr. 2022,1.552,2.187,659,1.418,3.175,Smartmeter
4 apr. 2022,1.552,2.186,659,1.417,3.171,Smartmeter
3 apr. 2022,1.546,2.186,644,1.417,3.167,Smartmeter
2 apr. 2022,1.541,2.186,633,1.417,3.163,Smartmeter
1 apr. 2022,1.540,2.184,633,1.407,3.157,Smartmeter
31 mrt. 2022,1.539,2.177,633,1.406,3.148,Smartmeter
30 mrt. 2022,1.538,2.175,633,1.400,3.142,Smartmeter
29 mrt. 2022,1.537,2.174,633,1.390,3.137,Smartmeter
28 mrt. 2022,1.536,2.172,633,1.384,3.136,Smartmeter
27 mrt. 2022,1.534,2.172,616,1.384,3.135,Smartmeter
26 mrt. 2022,1.531,2.172,599,1.384,3.133,Smartmeter
25 mrt. 2022,1.531,2.169,599,1.372,3.132,Smartmeter
24 mrt. 2022,1.530,2.167,599,1.359,3.131,Smartmeter
23 mrt. 2022,1.529,2.165,599,1.345,3.130,Smartmeter
22 mrt. 2022,1.528,2.161,599,1.333,3.129,Smartmeter
21 mrt. 2022,1.527,2.159,599,1.317,3.127,Smartmeter
20 mrt. 2022,1.521,2.159,590,1.317,3.123,Smartmeter
19 mrt. 2022,1.518,2.159,576,1.317,3.120,Smartmeter
18 mrt. 2022,1.517,2.155,576,1.303,3.115,Smartmeter
17 mrt. 2022,1.516,2.154,576,1.291,3.112,Smartmeter
16 mrt. 2022,1.515,2.153,576,1.280,3.108,Smartmeter
15 mrt. 2022,1.515,2.149,576,1.279,3.103,Smartmeter
14 mrt. 2022,1.514,2.147,576,1.272,3.101,Smartmeter
13 mrt. 2022,1.510,2.147,568,1.272,3.097,Smartmeter
12 mrt. 2022,1.507,2.147,558,1.272,3.096,Smartmeter
11 mrt. 2022,1.506,2.142,558,1.262,3.092,Smartmeter
10 mrt. 2022,1.505,2.139,558,1.250,3.087,Smartmeter
9 mrt. 2022,1.504,2.136,558,1.235,3.083,Smartmeter
8 mrt. 2022,1.503,2.133,558,1.221,3.077,Smartmeter
7 mrt. 2022,1.503,2.131,558,1.210,3.071,Smartmeter
6 mrt. 2022,1.500,2.131,545,1.210,3.065,Smartmeter
5 mrt. 2022,1.497,2.131,534,1.210,3.061,Smartmeter
4 mrt. 2022,1.496,2.129,534,1.199,3.053,Smartmeter
3 mrt. 2022,1.495,2.125,534,1.186,3.047,Smartmeter
2 mrt. 2022,1.494,2.122,534,1.172,3.042,Smartmeter
1 mrt. 2022,1.493,2.120,534,1.171,3.035,Smartmeter
1 feb. 2022,1.439,2.035,483,1.096,2.824,Smartmeter
27 jan. 2022,1.426,2.020,477,1.090,2.781,Jaarafrekening
1 jan. 2022,1.363,1.932,472,1.062,2.573,Smartmeter
1 dec. 2021,1.286,1.807,459,1.041,2.318,Smartmeter
1 nov. 2021,1.214,1.717,447,1.000,2.142,Smartmeter
1 okt. 2021,1.146,1.643,407,892,2.046,Smartmeter
1 sep. 2021,1.096,1.578,335,725,2.024,Smartmeter
1 aug. 2021,1.036,1.518,245,518,2.005,Smartmeter
1 jul. 2021,978,1.468,109,253,1.985,Smartmeter
1 jun. 2021,927,1.405,,,1.966,Smartmeter
1 mei 2021,825,1.282,,,1.855,Smartmeter
1 apr. 2021,740,1.145,,,1.675,Smartmeter
1 mrt. 2021,647,988,,,1.408,Smartmeter
1 feb. 2021,561,848,,,1.112,Smartmeter
27 jan. 2021,543,825,0,0,1.057,Jaarafrekening
1 jan. 2021,446,691,,,760,Smartmeter
1 dec. 2020,330,533,,,455,Smartmeter
1 nov. 2020,236,390,,,258,Smartmeter
1 okt. 2020,147,237,,,104,Smartmeter
1 sep. 2020,70,98,,,53,Smartmeter
1 aug. 2020,16,23,,,39,Smartmeter
1 jul. 2020,13,14,,,39,Smartmeter
1 jun. 2020,7,7,,,31,Smartmeter
6 mei 2020,0,0,0,0,0,Inbouwstand
5 mei 2020,19.167,19.681,,,26.901,Uitbouwstand
1 feb. 2020,19.075,19.556,,,26.686,Inhuizing
